Drug_Name,Vina_Score_kcal_mol,Output_File
tosufloxacin,-8.571,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tosufloxacin_docked.pdbqt
bexarotene,-8.563,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\bexarotene_docked.pdbqt
traxanox,-8.534,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\traxanox_docked.pdbqt
sotagliflozin,-8.53,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sotagliflozin_docked.pdbqt
trenbolone_hexahydrobenzylcarbonate,-8.527,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\trenbolone_hexahydrobenzylcarbonate_docked.pdbqt
elliptinium,-8.509,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\elliptinium_docked.pdbqt
flavodic_acid,-8.485,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flavodic_acid_docked.pdbqt
lasmiditan,-8.462,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lasmiditan_docked.pdbqt
endralazine,-8.461,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\endralazine_docked.pdbqt
eletriptan,-8.454,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\eletriptan_docked.pdbqt
fendosal,-8.446,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\fendosal_docked.pdbqt
cianidanol,-8.433,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cianidanol_docked.pdbqt
